0.02,0.02,-0.16,0.15,-0.12,-0.98,0.55,1.02,0.1,0.15,0.12,-0.01
0.02,0.02,-0.16,0.15,-0.12,-0.98,0.55,1.02,0.1,0.15,0.12,-0.01
0.02,0.02,-0.16,0.15,-0.12,-0.98,0.55,1.02,0.1,0.15,0.12,-0.01
0.02,0.02,-0.16,0.15,-0.12,-0.98,0.55,1.02,0.1,0.15,0.12,-0.01
0.02,0.02,-0.16,0.15,-0.12,-0.98,0.55,1.02,0.1,0.15,0.12,-0.01
0.02,0.02,-0.16,0.15,-0.12,-0.98,0.55,1.02,0.1,0.15,0.12,-0.01
0.02,0.02,-0.16,0.15,-0.12,-0.98,0.55,1.02,0.1,0.15,0.12,-0.01
0.02,0.02,-0.16,0.15,-0.12,-0.98,0.55,1.02,0.1,0.15,0.12,-0.01
0.02,0.02,-0.16,0.15,-0.12,-0.98,0.55,1.02,0.1,0.15,0.12,-0.01
0.02,0.02,-0.16,0.15,-0.12,-0.98,0.55,1.02,0.1,0.15,0.12,-0.01
0.02,0.02,-0.16,0.15,-0.12,-0.98,0.55,1.02,0.1,0.15,0.12,-0.01
0.02,0.02,-0.16,0.15,-0.12,-0.98,0.55,1.02,0.1,0.15,0.12,-0.01
0.02,0.02,-0.16,0.15,-0.12,-0.98,0.55,1.02,0.1,0.15,0.12,-0.01
0.02,0.02,-0.16,0.15,-0.12,-0.98,0.55,1.02,0.1,0.15,0.12,-0.01
0.02,0.02,-0.16,0.15,-0.12,-0.98,0.55,1.02,0.1,0.15,0.12,-0.01
0.02,0.02,-0.16,0.15,-0.12,-0.98,0.55,1.02,0.1,0.15,0.12,-0.01
0.02,0.02,-0.16,0.15,-0.12,-0.98,0.55,1.02,0.1,0.15,0.12,-0.01
0.02,0.02,-0.16,0.15,-0.12,-0.98,0.55,1.02,0.1,0.15,0.12,-0.01
0.02,0.02,-0.16,0.15,-0.12,-0.98,0.55,1.02,0.1,0.15,0.12,-0.01
0.02,0.02,-0.16,0.15,-0.12,-0.98,0.55,1.02,0.1,0.15,0.12,-0.01
0.02,0.02,-0.16,0.15,-0.12,-0.98,0.55,1.02,0.1,0.15,0.12,-0.01
0.02,0.02,-0.16,0.15,-0.12,-0.98,0.55,1.02,0.1,0.15,0.12,-0.01
0.02,0.02,-0.16,0.15,-0.12,-0.98,0.55,1.02,0.1,0.15,0.12,-0.01
0.24,0.16,0.21,-0.01,-0.23,-0.97,-0.95,0.51,-0.48,-0.01,0.23,-0
0.14,0.15,0.26,-0.01,-0.21,-0.98,-0.04,-0.62,-0.49,-0.01,0.21,-0.02
0.03,0.09,-0.24,-0.05,-0.23,-0.97,1.12,-1.73,-0.28,-0.05,0.24,-0.03
0.03,0.09,-0.24,-0.05,-0.23,-0.97,1.12,-1.73,-0.28,-0.05,0.24,-0.03
0.23,0.17,-0.2,-0.09,-0.25,-0.96,-1.84,1.51,0.03,-0.09,0.25,-0.05
0.31,0.18,0.11,-0.09,-0.16,-0.98,-2.44,-0.36,0.25,-0.09,0.16,-0.05
0.22,0.12,0.21,-0.11,-0.1,-0.99,-0.74,-0.57,0.36,-0.11,0.11,-0.04
0.19,0.14,0.1,-0.11,-0.1,-0.99,0.4,0.57,1,-0.11,0.1,-0.02
0.26,0.18,0.21,-0.08,-0.11,-0.99,-0.23,0.92,0.89,-0.08,0.11,0.02
0.21,0.07,-0.03,-0.05,-0.1,-0.99,0.75,1.37,-0.12,-0.05,0.1,0.03
0.21,0.07,-0.03,-0.05,-0.1,-0.99,0.75,1.37,-0.12,-0.05,0.1,0.03
0.22,0.02,-0.08,-0.01,-0.13,-0.99,0.69,0.8,-0.34,-0.01,0.13,0.03
0.15,0.1,-0.06,0.02,-0.15,-0.99,0.43,0.43,-1.35,0.02,0.15,-0.01
0.17,0.15,0.09,0.03,-0.14,-0.99,-0.76,-0.25,-1.47,0.03,0.14,-0.06
0.07,0.11,0.14,0.03,-0.12,-0.99,-0.41,0.25,-1.61,0.03,0.12,-0.12
0.17,0.22,0.03,0.05,-0.11,-0.99,0.41,0.16,-0.68,0.05,0.11,-0.16
